0=>20	-0.292419:-0.247095:0.842049
633=>20	0.19531896775341534:-0.623795815344584:0.5777197747123967
662=>652	0.37875648017386737:-0.2505966587112172:0.7483960002724162
663=>652	0.9505961698435558:-0.8653255454081953:0.8944783849298282
679=>423	-0.281212635649143:-0.13584717640187874:0.7458884762468085
700=>423	-0.11205114894906706:-0.9872232414324542:0.806053786357056
702=>20	-0.4132442039441181:-0.9685490731839559:0.891769502553136
706=>958	-0.319978:-0.494252:1.053661
732=>423	-0.10479682122417039:-0.18466576836489793:0.6888817245189539
739=>423	-0.12613084625064483:-0.4253589350221176:0.6725722998408021
745=>20	0.45922040556118277:-0.41512179144051553:0.4089225259471566
748=>958	-0.16859:0.19262:1.173304
762=>20	0.8638814066003953:-0.26243790522215465:0.9243733211069555
784=>20	-0.6842147768911216:-0.9301064047955659:0.9074261944904711
795=>423	0.47543508535696827:-0.9874062733452:1.1528493825338708
798=>20	0.6673946201344393:-0.5706576319613622:0.8191524393540491
805=>652	0.9833667076391573:-0.3439425795228596:0.6411970379261637
807=>652	0.5219060198166197:-0.08892760652860547:0.751312543012643
818=>652	0.5853185321500303:-0.6113779149723467:0.9893839106388452
821=>652	0.5422714151277529:-0.387733360247385:0.9345156825749271
822=>652	0.9712042907058476:-0.9549273846592664:0.8489050822249462
838=>423	0.8831961862390192:-0.813355547157501:0.6712477085281351
843=>958	0.700548:0.074246:0.686077
846=>423	0.8485896177643798:-0.46352677522802643:0.7096441347557441
853=>20	0.7750889558908395:-0.9924036452627323:0.7715168329542613
855=>958	-3.842453:-0.654789:1.486151
857=>20	0.55849243934433:-0.5055446099342057:0.6455477860293131
867=>20	0.7395117862332877:-0.6872791926570622:0.7201217869966169
871=>20	0.9733404083111744:-0.45290444100872196:0.9955409719864727
873=>423	-0.249230162318318:-0.33881263001495954:0.6778231843997639
876=>20	0.44861742520985504:-0.22508555958522758:0.8513391564931637
879=>423	0.48183071146228157:0.07968814787267238:0.6106605454053595
893=>20	0.15570994473357602:-0.04094599617424858:0.7161646233296355
894=>20	0.3837926961383244:-0.13229934967132762:0.4615861114278104
896=>20	0.5419163669995292:-0.7510782803023436:0.8021426835362621
897=>652	0.8203687668167199:-0.0869388578172911:0.4942459882053138
898=>652	0.25794161297229246:-0.5522950570676193:0.9149850765934008
901=>20	-0.3490235021516055:-0.5028798411122145:0.7698051623134186
927=>20	0.7992925092736628:-0.7972142448778801:0.8309733689654714
933=>594	-0.2136686243089861:-0.3574704320540671:0.6505956528499668
942=>652	0.7004490514992244:-0.10654995807489256:0.5843220549438028
967=>423	-0.35572864923009045:0.1918112304855066:0.7209566229238251
971=>20	0.28581674630538084:0.09415469646415818:0.7318613649653574
978=>423	0.19949740585082823:0.05377643461505048:0.7120914553297909
979=>423	-0.3527917745585182:-0.7523422737770313:0.7289989968973802
991=>423	0.37913689376795967:0.08896592543509896:0.6045770107173366
995=>423	1.0435051806319524:-0.889842354957465:0.797879555293851
1004=>20	0.6781526683147496:-0.20093862636494803:0.8873382160597569
1005=>20	-0.739805963482758:-1.2674803645452382:0.8475430996854768
